                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.1359,                 4.2321,                 3.7534,                      0,                      0,                      0,                      0,                 6.5149,                 4.9869,                 4.4412,             0.00041054,             0.00041054,             0.00041054
                      2,                 2.9123,                 2.5711,                 2.3512,                0.81668,                0.06343,                0.10754,                0.02744,                 3.3339,                 3.4544,                  2.368,             0.00082557,             0.00082557,             0.00082557
                      3,                 2.2066,                 1.9973,                 1.7674,                0.75942,                0.28185,                 0.3033,                0.12934,                 1.9588,                 2.8747,                 1.7326,              0.0012389,              0.0012389,              0.0012389
                      4,                 1.9556,                 1.7862,                 1.5732,                0.69657,                 0.4335,                0.41889,                0.19625,                 1.7511,                 1.5366,                 1.4824,              0.0012426,              0.0012426,              0.0012426
                      5,                 1.7766,                 1.6048,                 1.4485,                0.60122,                0.35067,                0.35989,                0.15237,                 1.8637,                 1.8343,                   1.54,              0.0012401,              0.0012401,              0.0012401
                      6,                 1.6709,                 1.5032,                 1.3861,                0.72615,                0.48384,                0.53374,                0.28218,                 1.5595,                 1.3737,                 1.3521,              0.0012376,              0.0012376,              0.0012376
                      7,                 1.6293,                 1.4138,                 1.3377,                0.72725,                0.51447,                0.55362,                0.30365,                 1.4624,                 1.2577,                 1.3131,              0.0012351,              0.0012351,              0.0012351
                      8,                 1.5444,                 1.3385,                 1.2922,                0.38398,                0.43871,                0.39495,                0.20982,                  1.545,                 1.6923,                 1.3413,              0.0012327,              0.0012327,              0.0012327
                      9,                 1.5391,                 1.2832,                 1.2581,                0.53847,                0.62036,                0.58805,                0.33819,                 1.3786,                 1.1708,                  1.273,              0.0012302,              0.0012302,              0.0012302
                     10,                 1.4946,                 1.2133,                 1.2567,                0.62452,                0.52738,                0.59512,                0.32785,                 1.4036,                 1.3816,                 1.2738,              0.0012277,              0.0012277,              0.0012277
                     11,                 1.4295,                 1.2111,                 1.2211,                0.54762,                0.64113,                0.62901,                0.34761,                 1.3923,                 1.1352,                  1.266,              0.0012252,              0.0012252,              0.0012252
                     12,                 1.4411,                 1.1873,                 1.2138,                 0.6379,                0.62847,                0.64256,                0.37013,                 1.3617,                 1.0487,                 1.2313,              0.0012228,              0.0012228,              0.0012228
                     13,                 1.4252,                 1.1296,                 1.2004,                0.59447,                0.58483,                0.59905,                0.34768,                 1.3739,                 1.1969,                 1.2443,              0.0012203,              0.0012203,              0.0012203
                     14,                  1.395,                 1.1072,                 1.1997,                0.59763,                0.63287,                0.64109,                0.39292,                 1.3339,                 1.1136,                 1.2243,              0.0012178,              0.0012178,              0.0012178
                     15,                 1.3705,                 1.0956,                 1.1869,                0.68817,                0.65011,                0.68977,                0.41251,                 1.3026,                0.99693,                 1.2022,              0.0012154,              0.0012154,              0.0012154
                     16,                 1.3301,                 1.0377,                 1.1563,                0.69086,                0.63015,                0.67628,                0.39608,                 1.3616,                 1.0405,                 1.2218,              0.0012129,              0.0012129,              0.0012129
                     17,                 1.3237,                 1.0216,                 1.1657,                0.67465,                0.68059,                 0.7143,                0.44211,                 1.2363,                0.92224,                 1.1686,              0.0012104,              0.0012104,              0.0012104
                     18,                 1.3121,                 1.0236,                 1.1465,                0.63948,                  0.626,                0.68721,                0.42493,                 1.2949,                0.94096,                 1.1973,              0.0012079,              0.0012079,              0.0012079
                     19,                 1.3142,                 1.0236,                 1.1562,                0.62093,                0.63423,                0.65981,                0.39293,                 1.3022,                0.99042,                 1.1857,              0.0012055,              0.0012055,              0.0012055
                     20,                 1.2896,                0.98835,                  1.127,                0.62997,                0.65562,                0.67321,                0.40572,                 1.2881,                 1.0772,                 1.1988,               0.001203,               0.001203,               0.001203
                     21,                  1.289,                0.96953,                 1.1333,                  0.644,                0.65767,                0.71203,                0.43005,                 1.2366,                 1.1341,                 1.1563,              0.0012005,              0.0012005,              0.0012005
                     22,                 1.2757,                0.95289,                 1.1325,                0.61495,                0.74514,                 0.7164,                0.44769,                 1.2332,                 0.9353,                 1.1585,               0.001198,               0.001198,               0.001198
                     23,                 1.2687,                0.94254,                 1.1239,                0.65124,                0.65397,                0.67361,                0.40841,                 1.3115,                0.99224,                 1.1984,              0.0011955,              0.0011955,              0.0011955
                     24,                  1.266,                0.95559,                 1.1291,                0.74123,                0.69991,                0.72924,                0.45276,                 1.2744,                0.91303,                 1.1805,              0.0011931,              0.0011931,              0.0011931
                     25,                 1.2621,                0.93733,                 1.1208,                0.72057,                0.67176,                0.73699,                0.45955,                 1.2334,                 0.9158,                 1.1514,              0.0011906,              0.0011906,              0.0011906
                     26,                 1.2345,                0.91135,                 1.1137,                0.69268,                 0.6562,                0.67598,                0.41077,                 1.2599,                 1.1041,                 1.1694,              0.0011881,              0.0011881,              0.0011881
                     27,                 1.2294,                0.87975,                 1.1099,                 0.6947,                0.71991,                0.72261,                0.45512,                 1.2367,                0.92874,                 1.1559,              0.0011856,              0.0011856,              0.0011856
                     28,                 1.2409,                0.89413,                 1.1097,                0.74093,                 0.7457,                0.76144,                0.46651,                 1.2552,                0.84207,                 1.1582,              0.0011832,              0.0011832,              0.0011832
                     29,                 1.2269,                0.90164,                 1.1109,                0.69826,                0.67659,                0.71337,                0.45065,                 1.2299,                0.89347,                 1.1515,              0.0011807,              0.0011807,              0.0011807
                     30,                 1.2303,                0.88503,                 1.1117,                0.70811,                0.68932,                0.72298,                 0.4585,                 1.2271,                0.90926,                  1.143,              0.0011782,              0.0011782,              0.0011782
                     31,                 1.2039,                0.86556,                 1.0898,                0.72815,                0.71605,                0.76083,                  0.477,                   1.23,                0.79744,                 1.1483,              0.0011757,              0.0011757,              0.0011757
                     32,                 1.1879,                0.85904,                 1.0914,                0.65935,                0.70293,                0.69847,                 0.4284,                 1.2688,                0.90895,                 1.1648,              0.0011733,              0.0011733,              0.0011733
                     33,                 1.2049,                0.85522,                 1.0904,                0.67392,                0.73748,                0.75526,                0.46754,                 1.2237,                0.80234,                 1.1471,              0.0011708,              0.0011708,              0.0011708
                     34,                 1.2009,                0.84244,                 1.0865,                0.74999,                0.71725,                0.75212,                 0.4811,                 1.2234,                0.79241,                 1.1404,              0.0011683,              0.0011683,              0.0011683
                     35,                 1.1785,                0.84137,                 1.0896,                0.65408,                0.69781,                0.72189,                0.45807,                 1.2625,                0.83749,                 1.1744,              0.0011658,              0.0011658,              0.0011658
                     36,                 1.1903,                0.82861,                  1.081,                 0.7084,                0.70749,                0.71705,                0.44359,                 1.2862,                0.88502,                 1.1795,              0.0011634,              0.0011634,              0.0011634
                     37,                 1.1764,                0.81396,                  1.084,                0.75829,                0.67006,                0.75243,                0.48615,                  1.202,                0.81676,                 1.1329,              0.0011609,              0.0011609,              0.0011609
                     38,                 1.1794,                0.80661,                 1.0795,                0.69202,                0.76091,                0.76863,                0.48728,                 1.2135,                0.75622,                 1.1392,              0.0011584,              0.0011584,              0.0011584
                     39,                 1.1689,                0.81283,                 1.0728,                0.67006,                0.75675,                0.73381,                0.47105,                 1.2304,                0.88861,                 1.1443,              0.0011559,              0.0011559,              0.0011559
                     40,                 1.1713,                0.81819,                 1.0812,                0.72275,                0.71634,                0.76105,                0.47696,                 1.2463,                0.79033,                 1.1462,              0.0011535,              0.0011535,              0.0011535
                     41,                  1.174,                0.81675,                 1.0715,                0.69033,                0.72794,                 0.7498,                 0.4669,                 1.2271,                0.80171,                 1.1407,               0.001151,               0.001151,               0.001151
                     42,                  1.157,                0.79501,                 1.0682,                0.70239,                0.74303,                 0.7392,                0.48088,                 1.2174,                0.79052,                 1.1432,              0.0011485,              0.0011485,              0.0011485
                     43,                 1.1511,                0.77403,                 1.0731,                0.74069,                 0.6576,                0.72782,                0.48017,                 1.2071,                0.88626,                 1.1298,              0.0011461,              0.0011461,              0.0011461
                     44,                 1.1399,                0.78864,                 1.0652,                 0.7284,                0.69242,                0.74793,                0.49468,                 1.1984,                0.75372,                 1.1332,              0.0011436,              0.0011436,              0.0011436
                     45,                 1.1724,                0.76965,                 1.0772,                0.75344,                0.73044,                0.77807,                0.50215,                 1.2026,                0.75969,                 1.1325,              0.0011411,              0.0011411,              0.0011411
                     46,                 1.1376,                 0.7701,                 1.0607,                0.77032,                0.66852,                0.74095,                0.48103,                 1.2308,                0.80325,                 1.1423,              0.0011386,              0.0011386,              0.0011386
